About,معلومات عن النظام,
App,تطبيق,
App Name,اسم التطبيق,
Apps,التطبيقات,
Client ID,رمز العميل,
Client Secret,سر العميل,
Connected App,تطبيق متصل,
Create,انشاء,
DocType,DocType,
Document Name,اسم المستند,
Document Type,نوع المستند,
Documentation,الوثائق,
Enabled,مفعل,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Logout,خروج,
Mapping,رسم الخرائط,
My Profile,ملفي التعريفي,
My Settings,إعداداتي,
Reload,تحديث,
Session Defaults,الجلسة الافتراضية,
System Manager,مدير النظام,
Toggle Full Width,عرض بالحجم الكامل,
Toggle Theme,تبديل المظهر,
View Website,عرض الموقع الإلكتروني,
